sensor_1,1632407894,18.9
sensor_2,1632407992,19.9
sensor_3,1632407997,20.9
sensor_1,1632407892,20.9
sensor_1,1632407834,26.9
sensor_1,1632407844,21.9
sensor_4,1632407844,21.9
sensor_4,1632407844,21.9
sensor_4,1632407848,22.9
sensor_4,1632407850,23.9
sensor_4,1632407851,24.9
sensor_4,1632407852,25.9
sensor_4,1632407853,26.9
sensor_4,1632407854,27.9
sensor_4,1632407855,28.9
sensor_4,1632407856,29.9
sensor_4,1632407857,30.1
sensor_4,1632407858,30.1
sensor_4,1632407859,30.2
sensor_4,1632407860,30.3
sensor_4,1632407861,30.3
sensor_4,1632407862,30.3
sensor_4,1632407865,30.4
sensor_4,1632407868,30.5
sensor_4,1632407872,30.5
sensor_4,1632407873,30.6
sensor_4,1632407874,30.7
sensor_4,1632407879,31.5
sensor_4,1632407899,33.5
sensor_4,1632407898,11.5
sensor_4,1632409898,11.5
